[FILL] a/the	PART	QUANTIFIER	[FILL] is a part of	QUANTIFIER	WHOLE	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	adulthood	is	a part of		the life cycle							#751	Moved to STAGE-IN-PROCESS	e222-9ed6-45d6-12f7	
the	afternoon	is 	a part of the		day							#281		6349-70d1-a00d-308e	
	arms	are	a part of a		person's body	for	manipulating objects					# Q 1518		31c9-367f-4e89-4086	
the	atmosphere		is a part of		nature; the environment							# Q 309		2f7f-0fc8-1863-e47e	
a	backbone	is	a part of a		vertebrate animal							#1369		ed5f-9928-2947-21bc	
	bacteria	is	a part of		soil							#1229		a696-287a-78cf-6b8a	
	bark	is	a part of a		tree							#1		555d-d839-0a6b-4a52	
a	beach	is usually	part of an		island							# Q 1968		713f-c921-0aa1-83b1	
a	beak	is	a part of a		bird							#861		5924-9c1d-0eaf-2a30	
	blood		is part of the		body	used for	delivering oxygen from the lungs to the rest of the body					# long purpose.  Should blood be part_of the circulatory system, and the circulatory system part of the body?	Moved to Vehicle-For	bf6a-4c9f-6234-8829	
	blood	is	a part of the		circulatory system							#1274		e576-3be7-5e76-3b07	
	blubber	is often	a part of		sea mammals	for	keeping warm	by	providing thermal insulation			# Q 968		e069-66e7-52de-03e7	
a	bone	is	a part of	some	animals							#1681		aea0-195f-c237-c935	
	bone cells	are	a part of		the body							#1483		c049-ad89-f8b6-65d5	
a	brain	is	a part of an		animal							# Q 14		aa4b-35f5-0dc1-afbe	
the	brain	is	a part of the		body							#2106		b29a-9bdd-4596-0296	
the	brain	is	a part of the		central nervous system							# Q 1999		9adf-5c73-e94c-f250	
a	burner	is	a part of a 		stove							#1084		7871-bd79-e7cc-a799	
a	cactus spine		is a part of a		cactus	for	protecting the cactus from animals							9dd0-2043-666a-aa5f	
the	cell membrane	is	a part of a		cell							# Q 124		18c9-8e1d-c07f-850a	
a	cell nucleus		is a part of a		cell									88b6-8bff-95aa-75e1	
a	cell wall		is a part of a		plant cell	for	supporting and protecting the cell membrane					# for/purpose is messy. 		6c0f-ee50-8f2c-401e	
	cells	are	a part of the		body							#2196		2167-5f58-b8bb-6a22	
	chloroplast	is	a part of a		plant cell							#517		f1b0-1ed6-289e-c065	
a	claw	sometimes	is a part of a		predator							# Q 145, refactor quantifier for readability		59ba-92bd-94af-92fd	
a	claw	is often	part of a		bird							# Q 145		06bb-097d-8689-544f	
	coal	sometimes	is a part of		the rock cycle							#419	Moved to STAGE-IN-PROCESS	3f37-e32e-cf89-8948	
	condensation	is	a part of		the water cycle							#1021	Moved to STAGE-IN-PROCESS	8e2a-2018-51f0-ae84	
the	continental shelf	is	a part of		the ocean							#476		6a9b-a68f-335c-2a51	
the	day time		is part of		one day							# These probably need to move to a table about ordered/unordered lists or sequences or cycles. (From 70)		4a85-2fef-539d-2162	
	decomposition	is	a part of		the carbon cycle							#1010	Moved to STAGE-IN-PROCESS	b087-89c4-9efa-b26e	
	down		is part of a		young bird									56e3-240f-2f97-378b	
an	egg		is part of a		life cycle								Moved to STAGE-IN-PROCESS	583d-877a-1357-8d64	
an	electric motor	is 	a part of an		electric fan	for	rotating the vanes			in the fan		# Q 81		4af0-b8cd-15fe-0f8d	
the	esophagus		is a part of the		body									546f-b1fd-1583-d394	
the	esophagus		is a part of the		digestive system									00f8-d40c-40bb-d78a	
	evaporation	is	a part of		the water cycle							#1019	Moved to STAGE-IN-PROCESS	7cc2-cadd-f58b-76b6	
the	eyes		are part of the		head	used for	seeing							2173-1dd1-fdbb-cf94	
	eyes	are usually	part of an animal			for	seeing					# Q 391, refactor?		e0eb-f67a-6f99-b25b	
	eyes		are a part of		a human	for	seeing					# Q 391, refactor?		ff3b-674b-328e-5e4f	
a	face	is often	a part of an		animal							# Q 1530		35ef-4ebe-9109-e5aa	
	feathers	are	a part of		a bird							#1498		4bd2-7739-d5e2-99a1	
	fertilization	is	a part of		reproduction							#1064	Moved to STAGE-IN-PROCESS	0c20-6fdf-dcef-e1a9	
a	finger		is a part of a		hand									e3cb-84d0-f086-f8b8	
	fins		are a part of		aquatic animals	used for	moving through water							dba6-6a33-ccd7-4653	
a	flame		are a part of a		fire									bccb-923d-9495-c7af	
	flippers		are a part of a 		sea turtle									0149-ae3f-4139-1e0b	
a	flower		is a part of a		plant	for	attracting pollinators; producing seeds							d42a-e547-fdf9-9c35	
a	foot	is	a part of		some animals	for	walking					#1466		25f9-09c2-3469-a2f8	
	fruit		is a part of a		plant; tree									e5ad-f4c8-aca4-466f	
	fur	is often	part of an		animal							# Q 311		2f86-693e-7175-9932	
	fur	is	a part of a		mouse							# Q 683		9f96-8d81-abd0-2bc1	
	fur	is	a part of a		bat							# Q 683		1b62-5339-14e0-cd72	
	fur	is	a part of a		monkey							# Q 683		8a86-fa7b-a229-2953	
	gamete developement	is	a part of		reproduction							#1064	Moved to STAGE-IN-PROCESS	ee3b-5f5a-de5a-8ce8	
	gills		are a part of a		fish	used for	breathing water							686d-e4be-a123-314f	
	gills		are a part of		trout							# Q 58		ce79-c43f-0cd5-ed36	
the	ground		is part of the		Earth									5c63-e482-de31-72c0	
	growth	is	a part of		the life cycle							#1064	Moved to STAGE-IN-PROCESS	a451-883b-ec76-d0b3	
	hair; fur	is 	a part of		skin	for	protection; keeping warm					# Q 1570		c72d-59a5-2ef3-0271	
a	hand		is a part of the		body									48a7-5d3b-ade1-3644	
a	handle	is	a part of an		object	for	holding that object					#1031		977f-e85c-57e4-6900	
the	head		is a part of an		animal									309f-f563-d657-27c8	
a	heart	is	a part of the		body							#1663		a9a4-1a6c-b84b-528b	
the	heart	is	a part of		the circulatory system							#2015		aac5-9b7d-012e-9bac	
the	high tide	is	a part of		the tide cycle							#1038	Moved to STAGE-IN-PROCESS	5328-5998-909d-d64b	
	instructions		are a part of		kits							# ? 		b92a-e5e4-b486-4375	
	internal organs	are	a part of		the body							#836		07a1-a8a2-97ac-1866	
the	intestines		are a part of the		digestive system									1a59-b031-9090-8933	
a	key	is	a part of a		piano							#1087		a887-85b8-05c7-c5e8	
a	large canopy	usually	is a part of an		adult tree									89c5-b875-494c-f260	
	layers of fat	are often	a part of		animals					that live in cold climates		# Q 919		4188-9584-ffec-75e5	
a	leaf		is a part of a 		green plant									ecf3-617e-32df-416b	
a	leaf	is	a part of a		tree							#577		7f97-3a19-456e-8fdc	
	legs	are usually	a part of an		animal							#1048		0949-9caa-3b15-44cd	
